"enunciado";"resposta";"justificativa"
"O problema fundamental da Computação Gráfica é transformar uma imagem em dados.";"False";"O problema fundamental é o inverso: transformar dados em uma imagem."
"A Modelagem Geométrica é a área responsável por gerar imagens a partir de dados geométricos.";"False";"A Modelagem Geométrica descreve e estrutura os dados; a Síntese de Imagens é que gera as imagens a partir desses dados."
"A Síntese de Imagens, ou Visualização, tem como objetivo otimizar ou melhorar imagens já existentes.";"False";"Otimizar imagens existentes é a função do Processamento de Imagens. A Síntese de Imagens cria imagens a partir de modelos."
"A Visão Computacional busca extrair dados e informações de alto nível a partir de uma ou mais imagens.";"True";"A Visão Computacional realiza o processo inverso da Síntese de Imagens, analisando imagens para extrair informações."
"O Processamento de Imagens opera transformando dados de entrada em uma imagem de saída.";"False";"O Processamento de Imagens opera em uma imagem de entrada para gerar uma imagem de saída modificada (imagem -> imagem)."
"Animação é o processo de descrever matematicamente o movimento de objetos em uma cena.";"False";"Animação é a geração de sequências de imagens. A descrição matemática do movimento é feita na Modelagem de Movimento."
"A Análise de Movimento é análoga à Visão Computacional, porém aplicada a sequências de imagens (vídeo).";"True";"Correto, a Análise de Movimento foca em extrair informações de vídeos, assim como a Visão Computacional faz para imagens estáticas."
"Uma definição abrangente de Computação Gráfica engloba a síntese, o processamento e a análise de objetos gráficos.";"True";"Essa é a definição formal que abrange as principais áreas da Computação Gráfica."
"Um usuário comum de um programa gráfico, como um jogo, necessita de sólidos conhecimentos em Fundamentos de Computação Gráfica (FCG).";"False";"Usuários finais interagem com o software sem precisar conhecer os fundamentos matemáticos e algorítmicos por trás dele."
"Desenvolvedores de APIs gráficas, como OpenGL, precisam de conhecimento aprofundado em FCG e Ciência da Computação.";"True";"Esses profissionais trabalham na camada mais fundamental do software gráfico, o que exige conhecimento profundo dos princípios da CG."
"Em Visão Computacional, recebemos dados geométricos para a geração de informações.";"False";"O processo é o inverso: em Visão Computacional, recebemos imagens para gerar dados ou informações."
"Coordenadas Cartesianas em 2D são descritas por um raio e um ângulo.";"False";"Coordenadas Cartesianas 2D são descritas por um par de eixos (x, y). Um raio e um ângulo descrevem Coordenadas Polares."
"Coordenadas Cilíndricas são definidas por um raio, um ângulo e uma altura (h).";"True";"Esses três componentes (raio, ângulo e altura) definem um ponto no sistema de coordenadas cilíndricas."
"O modelo de cores RGB é considerado orientado ao usuário, por ser intuitivo para artistas.";"False";"O modelo RGB é orientado a hardware, pois se baseia na forma como monitores emitem luz (Vermelho, Verde, Azul)."
"O sistema de cores HSV é classificado como orientado a hardware, pois se baseia no funcionamento de monitores.";"False";"O sistema HSV (Matiz, Saturação, Valor) é orientado ao usuário, por ser mais intuitivo para descrever cores artisticamente."
"No modelo de cores RGB, a cor branca é representada pela origem do sistema (0, 0, 0).";"False";"A origem (0, 0, 0) representa o preto (ausência de luz). O branco é a combinação máxima das cores (ex: 255, 255, 255)."
"O modelo HSV é composto pelos componentes H (Matiz), S (Saturação) e V (Valor/Brilho).";"True";"Matiz (Hue), Saturação (Saturation) e Valor (Value) são os três componentes que definem uma cor no modelo HSV."
"O subespaço de cores do modelo RGB é representado por um hexacone (uma pirâmide de 6 lados).";"False";"O subespaço do RGB é um cubo. O do HSV é que é representado por um hexacone."
"O sistema de cores HSV é um sistema orientado ao usuário.";"True";"Correto, pois é baseado em como um artista descreve e mistura cores (matiz, pureza, brilho)."
"Um sistema de coordenadas normalizado se encontra, por padrão, em um intervalo de [0, 255].";"False";"Um sistema normalizado geralmente está no intervalo [0, 1] ou [-1, 1]. O intervalo [0, 255] é comum para representação de cores de 8 bits."
"A etapa de Rasterização consiste na conversão da representação 3D de um objeto para uma representação 2D (pixels).";"True";"Esta é a definição correta da etapa de rasterização, também conhecida como conversão de varredura."
"Culling é o nome dado à etapa de coloração dos pixels, que envolve iluminação e sombreamento.";"False";"Culling é o processo de remover superfícies escondidas ou fora do campo de visão. A coloração dos pixels é a etapa de Iluminação/Sombreamento."
"Em Computação Gráfica, transformações são sempre representadas por equações algébricas, pois o uso de matrizes não é eficiente.";"False";"As matrizes são a forma preferencial por serem computacionalmente eficientes e elegantes para representar e concatenar transformações."
"Para que a multiplicação de duas matrizes (A x B) seja possível, o número de colunas da matriz A deve ser igual ao número de linhas da matriz B.";"True";"Esta é a regra fundamental para a multiplicação de matrizes."
"A matriz transposta é o resultado da troca dos valores de suas linhas pelas suas colunas.";"True";"Essa é a definição de uma matriz transposta."
"A propriedade da transposta de um produto de matrizes é (AB)^T = A^T B^T.";"False";"A propriedade correta inverte a ordem: (AB)^T = B^T A^T."
"O produto interno entre dois vetores resulta em um valor escalar (um único número).";"True";"Correto, o produto interno ou escalar de dois vetores resulta em um número, e não em outro vetor."
"A menos que se use a transposta da matriz, a multiplicação de um vetor por uma matriz de transformação é sempre impossível.";"False";"A multiplicação é possível desde que as dimensões sejam compatíveis (vetor-linha com matriz, ou matriz com vetor-coluna)."
"Multiplicando os vértices de um objeto pela matriz identidade multiplicada por 0,5, o objeto passa a ter o dobro do tamanho.";"False";"Multiplicar por 0,5 (ou dividir por 2) reduz as dimensões do objeto à metade."
"As transformações geométricas podem alterar a posição e o tamanho, mas nunca a orientação de um objeto.";"False";"As transformações podem alterar todas essas características: posição (translação), tamanho (escala), orientação (rotação) e forma (cisalhamento)."
"A translação 2D é realizada multiplicando-se as coordenadas do objeto por um vetor de translação.";"False";"A translação é uma operação de ADIÇÃO do vetor de deslocamento às coordenadas do objeto."
"A translação de um objeto no espaço 3D é dada pela soma de um vetor de deslocamento T = (Tx, Ty, Tz) às suas coordenadas.";"True";"A nova posição (x', y', z') é dada por (x+Tx, y+Ty, z+Tz)."
"Para aplicar uma transformação de escala em um objeto, somamos os fatores de escala (Sx, Sy) às suas coordenadas.";"False";"A escala é uma operação de MULTIPLICAÇÃO das coordenadas pelos fatores de escala."
"Se os fatores de escala Sx e Sy forem diferentes, o objeto sofrerá uma deformação.";"True";"Se os fatores não forem iguais, a escala não é uniforme, resultando em uma distorção (deformação) do objeto."
"Aplicar uma escala em um objeto que não está na origem do sistema de coordenadas também resultará em uma translação indesejada.";"True";"A escala é aplicada em relação à origem. Se o objeto não está lá, ele será escalado e também se moverá."
"A matriz de escala 3D possui os fatores de escala Sx, Sy, Sz na sua diagonal principal.";"True";"Correto, a matriz de escala 3D é uma matriz diagonal com os fatores de escala."
"A rotação 2D de um ponto P em torno da origem é obtida somando-se um ângulo θ às suas coordenadas polares.";"True";"A rotação em 2D pode ser interpretada como a adição de um ângulo θ ao ângulo φ das coordenadas polares do ponto, mantendo o raio r."
"Aplicar uma matriz de rotação a um objeto que não está na origem apenas o girará em torno do seu próprio centro.";"False";"A matriz de rotação padrão gira o objeto em torno da origem (0,0), o que resultará em uma translação e rotação combinadas."
"A sequência correta para rotacionar um objeto em torno de seu próprio centroide é: rotacionar, transladar para a origem e transladar de volta.";"False";"A sequência correta é: 1. Transladar para a origem; 2. Rotacionar; 3. Transladar de volta para a posição original."
"Os ângulos de Euler definem uma rotação 3D por meio de três rotações independentes em torno dos eixos principais (x, y, z).";"True";"Essa é a definição dos ângulos de Euler, usados para simplificar a rotação 3D em três operações mais simples."
"Ao rotacionar um objeto 3D em torno do eixo z, apenas as suas coordenadas x e y são alteradas.";"True";"A rotação ocorre no plano xy, e a coordenada z permanece inalterada."
"Para uma rotação 3D em torno do eixo y, o valor do seno negativo na matriz de transformação contribui para o cálculo da coordenada y'.";"False";"Na rotação em torno do eixo y, o seno negativo contribui para o cálculo da coordenada z', seguindo a ordem cíclica de eixos."
"As matrizes de rotação são ortonormais, o que significa que sua matriz inversa é igual à sua matriz transposta.";"True";"Esta propriedade fundamental simplifica o cálculo da rotação inversa."
"A combinação de múltiplas rotações 3D (concatenação) é uma operação comutativa, ou seja, a ordem das rotações não altera o resultado final.";"False";"A multiplicação de matrizes não é comutativa; a ordem das rotações importa e altera o resultado final."
"A reflexão de um objeto 2D em torno do eixo x é obtida negando-se o valor de suas coordenadas x.";"False";"A reflexão em torno do eixo x nega o valor das coordenadas Y."
"Uma reflexão 2D em torno da origem é equivalente a uma rotação de 180 graus em torno da mesma origem.";"True";"Ambas as transformações levam o ponto (x,y) para (-x,-y)."
"Para refletir um objeto 3D sobre o plano yz, a coordenada z deve ser negada.";"False";"Para refletir sobre o plano yz, a coordenada X (que é perpendicular ao plano) deve ser negada."
"A transformação de cisalhamento (shear) é uma transformação de corpo rígido, pois preserva a forma e o tamanho do objeto.";"False";"O cisalhamento distorce a forma do objeto, portanto, não é uma transformação de corpo rígido."
"Um cisalhamento 2D na direção do eixo x modifica as coordenadas x dos pontos do objeto de forma proporcional às suas coordenadas y.";"True";"A equação da transformação é x' = x + Cx * y, mostrando que a nova coordenada x depende da coordenada y original."
"É possível reduzir (escala) o tamanho de um objeto apenas transladando-o para perto do observador.";"False";"A translação apenas move o objeto. A escala é a transformação que altera seu tamanho intrínseco. Em projeção perspectiva, o movimento altera o tamanho aparente, mas não o tamanho do modelo."
"O principal objetivo do uso de coordenadas homogêneas é impedir a concatenação de transformações.";"False";"O objetivo é o oposto: otimizar e permitir a concatenação de todas as transformações, incluindo a translação, em uma única matriz."
"O ponto cartesiano 2D (x, y) é representado em coordenadas homogêneas como (x, y, 1).";"True";"Adiciona-se uma coordenada extra, w (ou M), com valor 1 para representar um ponto no espaço cartesiano."
"Os pontos homogêneos (15, 5, 5) e (3, 1, 1) representam o mesmo ponto no sistema cartesiano.";"True";"Para converter de homogêneas para cartesianas, divide-se pela última coordenada. (15/5, 5/5) = (3, 1). O ponto (3, 1, 1) também representa (3, 1)."
"Em coordenadas homogêneas, se o último componente (M ou w) for igual a 0, o ponto está localizado na origem do sistema cartesiano.";"False";"Um ponto com M=0 representa um 'ponto no infinito', frequentemente usado para representar vetores de direção."
"Utilizando coordenadas homogêneas, a operação de translação continua sendo uma adição vetorial.";"False";"Em coordenadas homogêneas, a translação se torna uma multiplicação de matrizes."
"As coordenadas homogêneas permitem representar números reais por meio de inteiros.";"True";"Por exemplo, o ponto (0.5, 0.2) pode ser representado como (5, 2, 10), utilizando apenas inteiros."
"Duas coordenadas homogêneas não representam o mesmo ponto se forem múltiplos uma da outra.";"False";"Se forem múltiplos, representam exatamente o mesmo ponto no espaço cartesiano. Ex: (2, 4, 2) e (4, 8, 4) ambos representam o ponto (1, 2)."
"As coordenadas homogêneas evitam problemas na representação de números muito grandes.";"True";"Números muito grandes podem ser escalados por um fator M grande, resultando em valores menores na representação homogênea."
"O sistema de coordenadas homogêneas é utilizado em CG para tornar possível a concatenação da operação de translação com as demais transformações lineares.";"True";"Esta é a principal vantagem e motivação para o uso de coordenadas homogêneas em CG."
"A coluna genérica das coordenadas homogêneas é utilizada para se obter a matriz de projeção ortográfica.";"False";"A coluna genérica (ou o fator de projeção) das coordenadas homogêneas é utilizada para criar projeções perspectivas."
"Projeção geométrica é o processo de converter coordenadas 2D para coordenadas 3D.";"False";"É o processo inverso: converter coordenadas 3D para 2D, para visualização em uma tela."
"As projeções geométricas são classificadas em dois tipos principais: Paralelas e Perspectivas.";"True";"Essa é a classificação de mais alto nível para projeções geométricas planares."
"O Centro de Projeção é a superfície 2D onde a imagem do objeto é projetada.";"False";"O Centro de Projeção é o ponto de onde partem os raios. A superfície 2D é o Plano de Projeção."
"Em uma projeção perspectiva, o centro de projeção está localizado a uma distância finita do plano de projeção.";"True";"Este ponto finito simula a posição do olho do observador ou da lente de uma câmera."
"Para uma projeção paralela, todos os raios de projeção são paralelos entre si e o centro de projeção está no infinito.";"True";"Essas são as duas características que definem uma projeção paralela."
"Uma das principais características das projeções paralelas é que elas oferecem uma representação fiel e realista da aparência de um objeto.";"False";"As projeções paralelas são usadas para vistas precisas e medições. As perspectivas é que simulam a visão humana e o realismo."
"As projeções perspectivas preservam as dimensões relativas do objeto.";"False";"Elas não preservam as dimensões relativas, pois objetos distantes parecem menores."
"Em uma projeção perspectiva, objetos mais distantes do plano de projeção são projetados com um tamanho menor.";"True";"Este efeito é conhecido como 'foreshortening' e é uma característica chave das projeções perspectivas."
"As projeções paralelas são divididas em Ortográficas e Oblíquas.";"True";"As ortográficas têm raios de projeção perpendiculares ao plano, enquanto as oblíquas não."
"Os elementos básicos de uma projeção são: Plano de Projeção, Centro de Projeção e Raios de Projeção.";"True";"Estes são os três componentes essenciais que definem como uma projeção é formada."
"Numa projeção ortográfica do tipo 'Planta ou Elevação', o plano de projeção é perpendicular a um dos eixos principais.";"True";"Esta é a definição de uma projeção ortográfica do tipo elevação (frontal, lateral) ou planta (topo)."
"Projeções axonométricas são um tipo de projeção oblíqua.";"False";"Projeções axonométricas (isométrica, dimétrica, trimétrica) são um tipo de projeção ortográfica."
"Em uma projeção axonométrica, é possível visualizar múltiplas faces do objeto simultaneamente.";"True";"Ao contrário das projeções de planta/elevação, as axonométricas mostram o objeto de um ângulo, revelando várias faces."
"Uma projeção isométrica é um tipo de projeção perspectiva.";"False";"Uma projeção isométrica é um tipo de projeção paralela ortográfica axonométrica."
"Em uma projeção dimétrica, os ângulos formados pelas projeções dos três eixos principais com o plano de projeção são todos iguais.";"False";"Em uma projeção isométrica, os três ângulos são iguais. Em uma dimétrica, apenas dois dos três ângulos são iguais."
"Projeções isométricas são comumente usadas em jogos 2D para criar a ilusão de um ambiente 3D.";"True";"Esse tipo de projeção, também chamado de 2.5D, é muito popular em jogos de estratégia e RPGs clássicos."
"Em uma projeção oblíqua, a direção dos raios de projeção é diferente da direção da normal ao plano de projeção.";"True";"Essa é a principal característica que distingue as projeções oblíquas das ortográficas."
"A projeção Cavalier é um tipo de projeção oblíqua onde as linhas perpendiculares ao plano de projeção são desenhadas com seu comprimento total.";"True";"Na projeção Cavalier, as medidas de profundidade são mantidas, o que muitas vezes leva a uma distorção."
"Na projeção Cabinet, as linhas que representam a profundidade do objeto são desenhadas com metade de seu comprimento real.";"True";"Essa redução na profundidade faz com que a projeção Cabinet pareça mais realista do que a Cavalier."
"Quando o ângulo α de uma projeção oblíqua é 90°, ela se torna uma projeção paralela ortográfica.";"True";"Um ângulo de 90° entre os raios de projeção e o plano de projeção é a definição de uma projeção ortográfica."
"Projeções ortográficas possuem centro de projeção no infinito.";"True";"Como todas as projeções paralelas, o centro de projeção está no infinito."
"Projeções ortográficas podem ser classificadas em dimétricas e trimétricas.";"True";"A classificação das projeções axonométricas (que são ortográficas) se dá em isométrica, dimétrica e trimétrica."
"Projeções ortográficas preservam as dimensões relativas do objeto e são amplamente utilizadas em arquitetura e engenharia.";"True";"A preservação das dimensões as torna ideais para plantas baixas e desenhos técnicos."
"Projeções oblíquas são um caso particular das projeções ortográficas.";"False";"Oblíquas e ortográficas são dois tipos distintos de projeções paralelas. Nenhuma é um caso particular da outra."
"A direção dos raios de projeção em uma projeção oblíqua é a mesma da normal do plano de projeção.";"False";"Esta é a definição de projeção ortográfica. Em projeções oblíquas, a direção é diferente."
"Em uma projeção perspectiva, as linhas paralelas de uma cena 3D sempre se mantêm paralelas na imagem 2D projetada.";"False";"Linhas paralelas em 3D convergem para um ponto de fuga na imagem 2D, a menos que sejam paralelas ao plano de projeção."
"Um ponto de fuga é o ponto no infinito de onde partem todos os raios de projeção.";"False";"Um ponto de fuga é o ponto na imagem para o qual linhas paralelas no espaço 3D parecem convergir."
"O número de pontos de fuga em uma projeção perspectiva é determinado pela quantidade de eixos principais que são interceptados pelo plano de projeção.";"True";"Se o plano de projeção intercepta um eixo, haverá um ponto de fuga associado a esse eixo."
"Uma projeção com um ponto de fuga ocorre quando o plano de projeção é paralelo a dois dos eixos principais do objeto.";"True";"Isso faz com que apenas as linhas paralelas ao terceiro eixo (o que é perpendicular ao plano) pareçam convergir."
"Projeções ortográficas apresentam pontos de fuga, caso uma rotação seja aplicada ao objeto.";"False";"Projeções ortográficas (e todas as projeções paralelas) não têm pontos de fuga, pois as linhas paralelas permanecem paralelas."
"O tamanho da projeção de um objeto em perspectiva varia inversamente com a sua distância ao centro de projeção.";"True";"Este é o princípio fundamental da projeção perspectiva que simula a profundidade."
"A projeção perspectiva é classificada em relação à quantidade de pontos de fuga.";"True";"A classificação em um, dois ou três pontos de fuga é a forma padrão de categorizar as projeções perspectivas."
"Na projeção perspectiva, ângulos e distâncias não são preservados, exceto em faces paralelas ao plano de projeção.";"True";"A perspectiva distorce a geometria para criar uma ilusão de profundidade."
"O efeito da aplicação de uma matriz de transformação depende se estamos pré ou pós-multiplicando os vértices.";"True";"A multiplicação de matrizes não é comutativa, e a notação (vetor-linha vs vetor-coluna) muda a ordem da multiplicação."
"Pode-se alterar as dimensões de um objeto proporcionalmente e também transladá-lo ao aplicar uma única matriz de escala em um objeto fora da origem.";"True";"A operação de escala em um objeto fora da origem altera suas dimensões e também sua posição (translação) em relação à origem."
"A concatenação de uma translação 3D, seguida por uma rotação 3D e uma escala 3D, pode ser representada por uma única matriz 4x4 em coordenadas homogêneas.";"True";"Esta é a principal vantagem do sistema de coordenadas homogêneas, permitindo a concatenação de todas as transformações afins."
"Para manter um quadrilátero na sua posição original durante uma operação de cisalhamento seguida por reflexão, é necessário transladá-lo para a origem, aplicar as transformações e depois transladá-lo de volta.";"True";"Para aplicar transformações em relação ao centro do objeto (e não à origem), é necessário realizar a sequência de translação-transformação-translação inversa."
"A combinação de uma escala com uma translação em coordenadas homogêneas é realizada por meio da adição das respectivas matrizes.";"False";"A concatenação é sempre realizada por meio da multiplicação das matrizes de transformação."
"A reflexão sobre os eixos x e y em 2D é equivalente a uma reflexão em torno da origem.";"True";"A reflexão sobre x nega y, e a reflexão sobre y nega x. O resultado final é que (x, y) se torna (-x, -y), o que é a definição da reflexão em torno da origem."
"Todas as transformações geométricas podem ser representadas por uma multiplicação de matrizes 3x3 no espaço 3D cartesiano.";"False";"Todas, exceto a translação. A translação requer coordenadas homogêneas e matrizes 4x4, pois é uma adição em coordenadas cartesianas."